Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"35,574 EUR (899,900 CZK)",Škoda,Kodiaq,2.0 4x4 dsg tsi,"88,705 km",2021,Petrol,Suv,White,Praha,140 kW (190 HP),Automatic,https://yauto.cz/skoda/kodiaq/20-tsi-140-kw-dsg-4x4-sportline-acc-panorama-tazne-suv-benzin-857071/,
"24,509 EUR (619,999 CZK)",Bmw,X4,,"183,076 km",2014,Diesel,Suv,Red,Olbramovice,230 kW (313 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/BMW/X4/X4-3-0-35d-xDr-SUV-1710752873730171.html,
"7,669 EUR (194,000 CZK)",Volkswagen,Golf,1.6 TDI,"138,314 km",2012,Diesel,Hatchback,Gray,Tábor,77 kW (105 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Golf/Golf-1.6-TDI-77-Hatchback-1706032995205169.html,
"15,808 EUR (399,900 CZK)",Bmw,5 Series,535i,"149,500 km",2009,Petrol,Sedan,Gray,Praha,225 kW (306 HP),Automatic,https://www.sportovnivozy.cz/187107-bmw-5-535i-gt-adaptive-drive-2009,
"18,935 EUR (479,000 CZK)",Volvo,Xc60,2.4 D4 AWD,"119,655 km",2014,Diesel,Crossover,Blue,Liberec,140 kW (190 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Volvo/XC60/XC60-D4-AWD-2.4-SUV-1709645997530356.html,
"13,835 EUR (349,990 CZK)",Volkswagen,Touareg,3.0 TDI,"298,000 km",2011,Diesel,Suv,Black,Rajhrad,180 kW (245 HP),Automatic,https://www.autanet.cz/detail/volkswagen/touareg/40967,
"19,761 EUR (499,900 CZK)",Bmw,3 Series,320d xDrive,"151,435 km",2019,Diesel,Sedan,Gray,Praha,140 kW (190 HP),Automatic,https://www.annonce.cz/inzerat/bmw-rada-3-320d-xdrive-72836401-wfwjq1.html,
"10,673 EUR (270,000 CZK)",Peugeot,2008,1.2 vti,"113,007 km",2017,Petrol,Crossover,Gray,Praha,81 kW (110 HP),Automatic,https://www.sauto.cz/osobni/detail/peugeot/2008/203689521,
"75,106 EUR (1,899,900 CZK)",Audi,A7,3.0 50 TDI quattro,"8,955 km",2022,Diesel,Sedan,Black,Praha,210 kW (286 HP),Automatic,https://autocaris.cz/detail.php?inzerat=735873,
"12,452 EUR (315,000 CZK)",Jeep,Grand Cherokee,3.0 crd,"93,926 km",2010,Diesel,Suv,Black,Kroměříž,160 kW (218 HP),Automatic,https://www.annonce.cz/inzerat/jeep-grand-cherokee-73052575-wtgzrn.html,
"8,657 EUR (219,000 CZK)",Volvo,V60,2.4 D5,"333,258 km",2012,Diesel,Wagon,Orange,Kroměříž,158 kW (215 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Volvo/V60/V60-2.4-D5.-R-d-Kombi-1705929944875466.html,
"13,832 EUR (349,900 CZK)",Bmw,X5,xDrive30d,"191,911 km",2010,Diesel,Suv,Brown,Praha,180 kW (245 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/x5/203992332,
"5,336 EUR (135,000 CZK)",Suzuki,Grand Vitara,1.9 ddis,"184,406 km",2006,Diesel,Suv,Gray,Teplice,95 kW (129 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Suzuki/Grand-Vitara/Grand-Vitara-1-9-DDIS-Co-Kombi-1707839306190190.html,
"13,243 EUR (335,000 CZK)",Bmw,X5,D,"140,705 km",2010,Diesel,Suv,Gray,Praha,180 kW (245 HP),Automatic,https://www.annonce.cz/inzerat/bmw-x5-30d-xdrive-3-0-73095647-w6rzns.html,
"11,859 EUR (299,999 CZK)",Land Rover,Range Rover,3.0 TDV6,"192,726 km",2011,Diesel,Suv,Gray,Olbramovice,180 kW (245 HP),Automatic,https://www.automodul.cz/land-rover-range-rover-3-0-tdv6-se-180kw-4x4-tazne-c2600389,
"24,825 EUR (628,000 CZK)",Volkswagen,Sharan,2.0 TDI,"155,464 km",2020,Diesel,Van,Blue,Tábor,110 kW (150 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Sharan/Sharan-2.0-TDi-110-MPV-1710356712818135.html,
