Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"20,012 EUR (21,640 USD)",Jeep,Grand Cherokee,3.6 Limited,"53,680 mi",2021,Petrol,Suv,Black,Tampa,218 kW (296 HP),Automatic,1C4RJEBG0MC656361,https://www.easyautosales.com/used-cars/2021-Jeep-Grand-Cherokee-Limited-118702832.html
"18,236 EUR (19,720 USD)",Hyundai,Tucson,2.5,"30,313 mi",2022,Petrol,Suv,Gray,Tampa,139 kW (189 HP),Automatic,5NMJB3AE0NH047398,https://www.cars.com/vehicledetail/dab82567-daed-4677-a508-3177be7f3edf//
"17,561 EUR (18,990 USD)",Nissan,Titan,5.6 PRO-4X,"84,349 mi",2012,Petrol,Pickup,Black,Street,236 kW (321 HP),Automatic,1N6AA0CC8CN329086,https://www.cars.com/vehicledetail/ee56e4a3-0a60-47ac-b14f-e26630b2b0c6//
"20,744 EUR (22,432 USD)",Honda,Hr-V,1.8,"24,141 mi",2021,Petrol,Crossover,White,Jamaica,105 kW (143 HP),Automatic,3CZRU6H51MM717292,https://www.easyautosales.com/used-cars/2021-Honda-HR-V-EX-118147364.html
"17,566 EUR (18,995 USD)",Ford,Ranger,4.0 Sport,"25,170 mi",2010,Petrol,Pickup,Black,Alameda,154 kW (209 HP),Manual,1FTLR4FE5APA46509,https://www.cars.com/vehicledetail/99b19ae1-2723-415c-8872-8213d3ea9e43//
"20,233 EUR (21,879 USD)",Jeep,Grand Cherokee,3.6 Limited,"63,009 mi",2021,Petrol,Suv,White,Tampa,218 kW (296 HP),Automatic,1C4RJEBGXMC678903,https://www.easyautosales.com/used-cars/2021-Jeep-Grand-Cherokee-Limited-118335784.html
"16,641 EUR (17,995 USD)",Hyundai,Kona,electro,"14,704 mi",2021,Electric,Crossover,Black,Farmingdale,149 kW (203 HP),Automatic,KM8K23AG9MU132362,https://www.cars.com/vehicledetail/c9b93dc9-6b7d-4b98-bdb7-ef7ae70530f1//
"18,363 EUR (19,857 USD)",Cadillac,Xt5,3.6,"53,992 mi",2019,Petrol,Suv,Black,Tampa,231 kW (314 HP),Automatic,1GYKNARS3KZ137799,https://www.easyautosales.com/used-cars/2019-Cadillac-XT5-FWD-118702872.html
"21,822 EUR (23,598 USD)",Chevrolet,Equinox,1.5,"16,980 mi",2022,Petrol,Suv,Gray,Pacific,127 kW (173 HP),Automatic,2GNAXKEV1N6107824,https://www.cars.com/vehicledetail/e4539e1a-37d5-49f9-b11b-f115201df070//
"11,092 EUR (11,995 USD)",Toyota,Sequoia,5.7 limited,"209,282 mi",2010,,Suv,Black,Lafayette,284 kW (386 HP),Automatic,5TDJW5G14AS028834,https://www.easyautosales.com/used-cars/2010-Toyota-Sequoia-Limited-118511060.html
"20,340 EUR (21,995 USD)",Ford,F250,6.2 XLT,"116,679 mi",2016,Petrol,Pickup,Black,Saint Louis,287 kW (390 HP),Automatic,1FT7X2B67GEB01282,https://www.easyautosales.com/used-cars/2016-Ford-F-250-XLT-118076268.html
