Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"13,750 EUR",Peugeot,2008,1.2 puretech,"54,044 km",2018,Petrol,Crossover,Silver,Dronten,61 kW (83 HP),Automatic,https://autovooru.nl/peugeot-2008~13b-b1b-3c423f.html,
"13,900 EUR",Volkswagen,Golf,2.5 tsi,"166,832 km",2014,Electric,Hatchback,Black,Haarlem,111 kW (151 HP),Manual,https://www.autotrader.nl/auto/voertuig/volkswagen-golf-14-tsi-150pk-act-highline-plus-standkachel-camera-p-benzine/8df42d01-9370-4d9f-9a04-d591e4227cde/,
"14,900 EUR",Volkswagen,Golf,1.2 TSI,"164,916 km",2014,Petrol,Hatchback,Black,Haarlem,78 kW (106 HP),Automatic,https://autovooru.nl/volkswagen-golf~164-536-3b6ae8.html,
"22,900 EUR",Volkswagen,Golf,2.0 GTI,"151,491 km",2014,Electric,Sedan,Silver,Haarlem,171 kW (233 HP),Automatic,https://www.autotrader.nl/auto/voertuig/volkswagen-golf-gti-20-tsi-performance-aut-xenon-led-keyless-park-benzine/de5205a4-afb8-4c3b-9ba4-190e1b7019d5/,
"13,900 EUR",Volkswagen,Golf,1.2 TSI,"110,473 km",2014,Petrol,Hatchback,Gray,Nijmegen,78 kW (106 HP),Manual,https://www.valleiautogroep.nl/auto-zoeken/volkswagen-golf-1-2-tsi-105pk-cup-edition-37651745,
"12,499 EUR",Suzuki,Baleno,1.2,"143,493 km",2016,Petrol,Van,Silver,Leeuwarden,67 kW (91 HP),Automatic,https://www.marktplaats.nl/v/auto-s/suzuki/m2085695775-suzuki-baleno-1-2-high-executive-automaat-cruise-control-na,
"22,900 EUR",Mercedes Benz,S-Class,5.5 s,"136,348 km",2005,Petrol,Sedan,Silver,Oss,288 kW (392 HP),Automatic,https://www.marktplaats.nl/v/auto-s/mercedes-benz/m2089470636-mercedes-benz-s-klasse-w221-s-500-5-5-v8-aut-7-1e-eig,
"7,450 EUR",Seat,Ibiza,1.0,"198,730 km",2016,Petrol,Hatchback,White,Vlaardingen,72 kW (98 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/seat/ibiza-10-ecotsi-style-connect-airconavicruisecontrol/18661171,
"10,999 EUR",Volkswagen,Golf,1.4 TSI,"255,584 km",2015,Electric,Sedan,Silver,Wierden,152 kW (207 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/sedan/vehicle/2490878/volkswagen-golf-14-tsi-gte-panoramadak-carplay,
"16,900 EUR",Volkswagen,Golf,1.5 tsi,"170,732 km",2015,Electric,Hatchback,Silver,Haarlem,152 kW (207 HP),Automatic,https://www.autotrader.nl/auto/voertuig/volkswagen-golf-gte-14-tsi-performance-aut-xenon-led-park-assist-n-elektro-benzine/c7beda53-673d-4945-a0de-276f1ed10d30/,
"14,240 EUR",Renault,Clio,1.0 tce,"60,441 km",2020,Petrol,Hatchback,Blue,Zaltbommel,158 kW (215 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/renault/clio-10-tce-zen-parkeersensoren-achter-airco-apple-carplay/18858247,
"12,249 EUR",Bmw,X1,sDrive18i,"133,475 km",2011,Petrol,Suv,Silver,Tilburg,111 kW (151 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2077670657-bmw-x1-sdrive18i-executive-automaat-2011-navi-clima,
