Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"19,809 EUR (499,900 CZK)",Bmw,3 Series,320d xDrive,"151,435 km",2019,Diesel,Sedan,Gray,Praha,140 kW (190 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/3/3-320d-xDrive-Sedan-Limuzina-17093145501690.html,
"10,699 EUR (270,000 CZK)",Peugeot,2008,1.2 vti,"113,007 km",2017,Petrol,Crossover,Gray,Praha,81 kW (110 HP),Automatic,https://www.annonce.cz/inzerat/peugeot-2008-1-2pt-gt-72455721-we4uy7.html,
"13,829 EUR (349,000 CZK)",Mazda,Cx-5,2.0,"137,959 km",2012,Petrol,Crossover,Blue,Olomouc,118 kW (160 HP),Automatic,https://www.sauto.cz/osobni/detail/mazda/cx-5/203543463,
"9,470 EUR (239,000 CZK)",Mini,Countryman,2.0 SD,"138,767 km",2012,Diesel,Crossover,White,Znojmo,105 kW (143 HP),Automatic,https://www.autanet.cz/detail/mini/countryman/10062,
"17,431 EUR (439,900 CZK)",Volvo,Xc60,2.4 D4 AWD,"135,700 km",2016,Diesel,Crossover,Black,Praha,140 kW (190 HP),Manual,https://www.automodul.cz/volvo-xc60-d4-r-design-momentum-awd-pano-c2686231,
"13,865 EUR (349,900 CZK)",Bmw,X5,xDrive30d,"191,911 km",2010,Diesel,Suv,Brown,Praha,180 kW (245 HP),Automatic,https://www.annonce.cz/inzerat/bmw-x5-xdrive30d-sport-72540315-wnk4xs.html,
"5,349 EUR (135,000 CZK)",Suzuki,Grand Vitara,1.9 ddis,"184,406 km",2006,Diesel,Suv,Gray,Teplice,95 kW (129 HP),Manual,https://www.annonce.cz/inzerat/suzuki-grand-vitara-72604677-wvcvn2.html,
"11,887 EUR (299,999 CZK)",Land Rover,Range Rover,3.0 TDV6,"192,726 km",2011,Diesel,Suv,Gray,Olbramovice,180 kW (245 HP),Automatic,https://yauto.cz/land-rover/range-rover/30-tdv6-se-180kw-4x4-tazne-suv-nafta-828268/,
"21,318 EUR (538,000 CZK)",Škoda,Kodiaq,2.0 4x4 dsg tdi,"178,236 km",2018,Diesel,Suv,Gray,Tábor,140 kW (190 HP),Automatic,https://www.sauto.cz/osobni/detail/skoda/kodiaq/201508801,
"3,922 EUR (99,000 CZK)",Chevrolet,Captiva,2.0,"155,695 km",2008,Diesel,Suv,Gray,Žďár Nad Sázavou,110 kW (150 HP),Manual,https://autocaris.cz/detail.php?inzerat=725908,
"21,754 EUR (549,000 CZK)",Bmw,4 Series,428 Gran Coupe,"52,074 km",2015,Petrol,Coupe,Blue,Praha,179 kW (243 HP),Automatic,https://www.autanet.cz/detail/bmw/rada-4/12095,
"5,151 EUR (129,999 CZK)",Hyundai,I30,1.6,"220,885 km",2012,Petrol,Hatchback,Blue,Olbramovice,99 kW (135 HP),Manual,https://www.automodul.cz/hyundai-i30-1-6-gdi-99kw-cz-style-c2654423,
