Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"3,448 EUR",Seat,Ibiza,1.2 TDI,"334,559 km",2010,Diesel,Wagon,White,Emmen,55 kW (75 HP),Automatic,https://www.marktplaats.nl/v/auto-s/seat/m2078059505-seat-ibiza-st-1-2-tdi-style-ecomotive-ecc-cruise-control-nav,
"25,900 EUR",Seat,Leon,2.0,"142,119 km",2021,Diesel,Hatchback,Silver,Apeldoorn,111 kW (151 HP),Automatic,https://www.marktplaats.nl/v/auto-s/seat/m2085163090-seat-leon-2-0-tdi-fr-panoramadak-navi-stuurverw,6
"10,945 EUR",Ford,Focus,2.0 Titanium,"167,966 km",2016,Diesel,Wagon,Black,Stolwijk,111 kW (151 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/stationwagen/vehicle/2517394/ford-focus-20-tdci-titanium-navi-cruise-keyless-climate,
"10,999 EUR",Ford,Focus,1.0 titanium,"162,700 km",2016,Petrol,Sedan,Blue,Stadskanaal,93 kW (126 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/sedan/vehicle/2536879/ford-focus-10-titanium,
"22,700 EUR",Peugeot,5008,1.2 puretech,"103,684 km",2020,Petrol,Mpv,Black,Rijswijk,97 kW (132 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/5008-12-puretech-130-pk-automaat-gt-line-led-7-pers/18789889,
"18,300 EUR",Audi,A1,1.0 TFSI,"24,868 km",2017,Petrol,Mini,Black,Nijmegen,70 kW (95 HP),Automatic,https://www.valleiautogroep.nl/auto-zoeken/audi-a1-sportback-1-0-tfsi-95pk-37388995,
"29,945 EUR",Bmw,X1,xDrive18d,"62,484 km",2019,Diesel,Suv,White,Stolwijk,111 kW (151 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/mpv-van-minibus/vehicle/2565845/bmw-x1-xdrive18d-mpakket-high-executive-automaat-mpakket-navigatie-trekhaak,
"19,945 EUR",Ford,Mustang,4.6 GT,"135,989 km",2006,Petrol,Convertible,Black,Ochten,227 kW (309 HP),Automatic,https://www.autotrader.nl/auto/voertuig/ford-mustang-usa-gt-46-v8-aut-convertible-plus-leder-20-inch-l-benzine/9e747a24-8d11-4da9-838d-9ba989e231ec/,
"21,900 EUR",Mini,Cooper,1.6 S,"94,022 km",2015,Petrol,Hatchback,Silver,Someren,143 kW (194 HP),Automatic,https://www.autotrader.nl/auto/voertuig/mini-cooper-s-20-chili-f1-aut-navi-panorama-lounge-leder-benzine/19d544a4-75a7-4f2b-aad9-24ea658e5e45/,
"14,450 EUR",Bmw,3 Series,320i,"156,368 km",2013,Petrol,Wagon,Brown,Haarlem,137 kW (186 HP),Automatic,https://www.autoscout24.nl/aanbod/bmw-320-touring-320i-executive-dealer-onderhouden-airco-e-benzine-bruin-429e92d4-c5b6-4707-accc-ca644462dcf7,6
"32,900 EUR",Bmw,1 Series,118i,"48,265 km",2020,Petrol,Hatchback,Black,Someren,101 kW (137 HP),Automatic,https://www.autotrader.nl/auto/voertuig/bmw-118-118i-m-sport-edition-aut-live-cockpit-panoram-benzine/6c83e9c1-691b-495a-ba19-1e04cf46221f/,
"19,450 EUR",Volvo,Xc70,2.4 D5,"198,273 km",2014,Diesel,Crossover,Blue,Dronten,160 kW (218 HP),Automatic,https://autovooru.nl/volvo-xc70~165-9ba-3c6936.html,
"12,249 EUR",Opel,Crossland X,1.2 Turbo,"100,400 km",2017,Diesel,Suv,Gray,Nuenen,132 kW (180 HP),Manual,https://www.autoscout24.nl/aanbod/opel-crossland-x-1-2-turbo-innovation-benzine-grijs-6f68607b-bc1c-4aff-be7e-ab4ae6389575,
"19,950 EUR",Bmw,3 Series,320i,"137,700 km",2014,Petrol,Wagon,White,Leiderdorp,137 kW (186 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2088821807-bmw-3-serie-touring-320i-executive-automaat-outlet-actie-me,6
"8,900 EUR",Renault,Twingo,1.0 SCe,"38,178 km",2017,Petrol,Mini,White,Ochten,52 kW (71 HP),Manual,https://www.marktplaats.nl/v/auto-s/renault/m2079419826-renault-twingo-1-0-sce-collection-38-178-km-dab-bluet,
"17,450 EUR",Volkswagen,Golf,1.5 tsi,"76,421 km",2020,Electric,Hatchback,White,Culemborg,97 kW (132 HP),Manual,https://www.marktplaats.nl/v/auto-s/volkswagen/m2090217595-volkswagen-golf-1-5-tsi-comfortline-1e-eign-ecc-pdc-adaptive,
"10,650 EUR",Audi,A3,1.2 s tfsi,"152,352 km",2011,Petrol,Convertible,Black,Kampen,78 kW (106 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/audi/a3-cabriolet-12-tfsi-ambition-pro-line-s-ned-auto/18727987,
"16,900 EUR",Kia,Picanto,1.0 T-GDi,"21,348 km",2019,Petrol,Mini,Black,Utrecht,75 kW (102 HP),Manual,https://www.marktplaats.nl/v/auto-s/kia/m2083673437-kia-picanto-1-0-t-gdi-gt-line-leder-interieur-navigatie,
"16,400 EUR",Škoda,Citigo,electro,"26,069 km",2020,Electric,Mini,Gray,Ede,61 kW (83 HP),Automatic,https://www.valleiautogroep.nl/auto-zoeken/skoda-citigo-e-iv-83pk-ev-style-37563056,
"16,400 EUR",Škoda,Citigo,electro,"24,350 km",2020,Electric,Mini,Red,Nijmegen,61 kW (83 HP),Automatic,https://www.valleiautogroep.nl/auto-zoeken/skoda-citigo-e-iv-83pk-ev-style-37563066,
"15,950 EUR",Bmw,3 Series,320d,"173,009 km",2016,Diesel,Wagon,Silver,Apeldoorn,121 kW (165 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2088729082-bmw-3-serie-touring-320d-ede-centennial-executive-harman-kar,
"23,900 EUR",Kia,Stonic,1.0 T-GDi,"23,824 km",2023,Hybrid,Crossover,Black,Venray,73 kW (99 HP),Manual,https://www.limburgmobiel.nl/tweedehands-auto/kia/stonic-10-t-gdi-mhev-dynamicline-i-navi-kia-connect/18767124,
"25,950 EUR",Ford,Kuga,1.5 EcoBoost,"87,106 km",2017,Petrol,Suv,Silver,Culemborg,135 kW (184 HP),Automatic,https://www.marktplaats.nl/v/auto-s/ford/m2086434411-ford-kuga-1-5-ecoboost-st-line-winter-pack-standkachel,6
"7,777 EUR",Opel,Astra,1.4,"147,153 km",2014,Electric,Hatchback,Gray,Uden,75 kW (102 HP),Manual,https://www.autotrader.nl/auto/voertuig/opel-astra-14-business-plus-airco-cruisecontrol-navigatie-afne-benzine/a5e24b63-fb22-409e-890e-f0930acfb2f6/,
"21,950 EUR",Peugeot,5008,1.2 puretech,"51,871 km",2018,Petrol,Mpv,Blue,Katwijk,97 kW (132 HP),Automatic,https://www.marktplaats.nl/v/auto-s/peugeot/m2091332643-peugeot-5008-1-2-puretech-allure-7p-navigatie-camera-panor,
"4,950 EUR",Seat,Altea Xl,,"190,589 km",2011,Petrol,Mpv,Black,Haarlem,119 kW (162 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/stationwagen/vehicle/2572139/seat-altea-xl-18-tfsi-businessline-high-automaat-navi-aircoecc,
"10,900 EUR",Citroen,C3,1.2 puretech,"119,108 km",2020,Petrol,Hatchback,Gray,Waalwijk,61 kW (83 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/citroen/c3/9177817-citroen-c3-puretech-82-ss-feel-edition-airco-navi-apple-carplay-android-auto,
"13,950 EUR",Audi,A3,1.6 TDI,"187,574 km",2013,Diesel,Hatchback,Gray,Loon Op Zand,82 kW (112 HP),Automatic,https://www.autokan.nl/audi-lease/audi-a3-lease/variant-audi-a3/occ96054462,
"10,750 EUR",Renault,Grand Scenic,1.2,"131,184 km",2014,Petrol,Mpv,Black,Loenen,97 kW (132 HP),Manual,https://www.viabovag.nl/auto/aanbod/renault-grand-scenic-12-tce-130pk-bose-ecchalf-leercruisenavicamera-es3ec42,
"15,900 EUR",Toyota,Auris,1.8 Hybrid,"131,843 km",2016,Hybrid,Hatchback,Silver,Venray,73 kW (99 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/toyota/auris-18-hybrid-business-pro-i-pano-i-navi-i-half-leder/18729147,
"18,900 EUR",Kia,Rio,1.0,"93,359 km",2020,Petrol,Hatchback,Yellow,Tiel,75 kW (102 HP),Manual,https://www.marktplaats.nl/v/auto-s/kia/m2082208238-kia-rio-1-0-tgdi-gt-line-edition-trekhaak-dealer-onderho,
