Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"46,767 EUR (529,900 SEK)",Bmw,M2,DCT,"67,480 km",2024,Petrol,Coupe,Silver,Eskilstuna,,Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-m2-competition-dct-kolfiber-nyservad-carplay-410hk-11277-17506929
"17,104 EUR (193,800 SEK)",Volvo,S60,2.4 D5,"142,180 km",2015,Diesel,Sedan,Black,Boo,171 kW (233 HP),Automatic,https://bilweb.se/stockholms-lan/volvo-s60-polestar-d5-r-design-t-lucka-h-k-skinn-b-kam-2015-sedan-10766833
"17,024 EUR (192,900 SEK)",Bmw,2 Series,,"102,340 km",2016,Diesel,Hatchback,Silver,Vimmerby,141 kW (192 HP),Automatic,https://www.bytbil.com/kalmar-lan/personbil-220-d-xdrive-active-tourer-drag-sport-line-6694-17406637
"8,816 EUR (99,900 SEK)",Hyundai,Ix35,2.0 CRDi,"192,520 km",2013,Diesel,Crossover,White,Skellefteå,137 kW (186 HP),Automatic,https://www.bytbil.com/vasterbottens-lan/personbil-ix35-2-0-crdi-4wd-kamera-mok-rattvarme-p-sens-drag-100222-17597725
"46,599 EUR (528,000 SEK)",Mazda,Cx-60,3.3,"19,000 km",2023,Hybrid,Suv,Black,Linköping,187 kW (254 HP),Automatic,https://www.bytbil.com/ostergotlands-lan/personbil-cx-60-homura-3-3-de-awd-automat-254hk-leasebar-8085-17132629
"64,330 EUR (728,900 SEK)",Audi,E-Tron,55 quattro,"19,000 km",2022,Electric,Suv,Black,Svarta,95 kW (129 HP),Automatic,https://www.blocket.se/annons/105059359
"33,449 EUR (379,000 SEK)",Volkswagen,Tiguan Allspace,2.0 TDI,"58,630 km",2020,Diesel,Crossover,White,Falun,141 kW (192 HP),Automatic,https://bilweb.se/dalarnas-lan/volkswagen-tiguan-allspace-2-0-tdi-190-4m-dsg-r-line-7-sits-2020-suv-10543032
"389,800 EUR",Volvo,Xc40,1.5,"83,070 km",2020,Hybrid,Crossover,White,Kungsbacka,,Automatic,https://www.bytbil.com/hallands-lan/personbil-xc40-t5-r-design-drag-360-taklucka-vinterhjul-1123-17459149
"32,646 EUR (369,900 SEK)",Lincoln,Navigator,5.6,"160,600 km",2016,Petrol,Suv,Black,Helsingborg,279 kW (379 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-navigator-3-5-v6-ecoboost-7-sits-skinn-22-falg-m-m-1302-17180230
"32,566 EUR (369,000 SEK)",Chevrolet,Camaro,6.2 ZL1,"62,000 km",2018,Petrol,Convertible,Black,Falkenberg,250 kW (340 HP),Automatic,https://www.blocket.se/annons/1000707270
"16,318 EUR (184,900 SEK)",Volvo,V60,2.0 t3,"94,000 km",2018,Petrol,Wagon,White,Helsingborg,113 kW (154 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-v60-t3-kinetic-dragkrok-pdc-bak-152hk-9451-17556046
"164,800 EUR",Volvo,V70,2.0,"218,000 km",2015,Diesel,Wagon,Black,Växjö,,Automatic,https://www.bytbil.com/kronobergs-lan/personbil-v70-d4-classic-summum-varmare-hk-6-99-voc-drag-181hk-7784-17577891
"32,205 EUR (364,900 SEK)",Bmw,X5,xDrive40e,"114,850 km",2018,Hybrid,Suv,Black,Linköping,180 kW (245 HP),Automatic,https://www.bytbil.com/ostergotlands-lan/personbil-x5-xdrive40e-innovation-night-vision-pano-drag-313hk-8921-17570460
"32,513 EUR (368,400 SEK)",Volvo,V60 Cross Country,2.0,"60,400 km",2021,Petrol,Wagon,Silver,Skövde,186 kW (253 HP),Automatic,https://bilweb.se/vastra-gotalands-lan/volvo-v60-cross-country-cc-b5-awd-aut-advanced-carplay-h-k-kamera-drag-2021-kombi-10775160
"7,051 EUR (79,900 SEK)",Peugeot,508,2.0 HDi,"236,000 km",2011,Diesel,Sedan,Black,Falun,121 kW (165 HP),Automatic,https://bilweb.se/dalarnas-lan/peugeot-508-sw-2-0-hdi-varm-panorama-automat-nybesik-2011-kombi-10624221
"7,934 EUR (89,900 SEK)",Peugeot,508,1.6 HDi,"137,000 km",2011,Diesel,Sedan,Black,Falun,82 kW (112 HP),Automatic,https://bilweb.se/dalarnas-lan/peugeot-508-1-6-e-hdi-sedan-dragkrok-motorvarmare-automat-2011-sedan-10744222
"7,042 EUR (79,800 SEK)",Peugeot,Partner,1.6,"193,970 km",2015,Diesel,Pickup,White,Stockholm,85 kW (116 HP),Manual,https://www.bytbil.com/stockholms-lan/personbil-partner-tepee-1-6-114hk-m-k-varmare-5sits-0-53l-mil-9370-17485406
"17,563 EUR (199,001 SEK)",Toyota,Yaris,1.5 Hybrid,"46,990 km",2019,Hybrid,Sedan,White,Falun,75 kW (102 HP),Automatic,https://www.bilia.se/bilar/sok-bil/toyota/yaris/ago728/
