Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"41,154 EUR (16,221,540 HUF)",Citroen,C5 Aircross,1.6 puretech,,2024,Hybrid,,Suv,,Szeged,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c5_aircross/citroen_c5_aircross_1.6_puretech_hybrid_plus_eat8_plug-inf_hibrid_keszletrol-20255704
"23,589 EUR (9,297,850 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3h2-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231698
"28,741 EUR (11,328,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231947
"28,730 EUR (11,324,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3-tobb-darab-raktarkeszleten-kavosz-5/20232014
"28,654 EUR (11,294,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3-6-szemelyes-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231899
"19,663 EUR (7,750,690 HUF)",Citroen,Jumpy,1.6,,2024,Diesel,,Van,,Szeged,88 kW (120 HP),Manual,https://hovany.hu/autok/citroen/jumpy-15-bluehdi-l2-3-szemelyes-startstop-keszletrol-elerheto-kavosz-lizing-5/20232209
"14,252 EUR (5,617,800 HUF)",Citroen,C3,1.6,,2024,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-kavosz-5/20256092
"12,659 EUR (4,990,000 HUF)",Peugeot,508,2.0 bluehdi,"148,541 km",2016,Diesel,,Sedan,White,Budakalász,133 kW (181 HP),Automatic,https://joautok.hu/hasznaltauto/peugeot/508/508-20-bluehdi-gt-eat6-mo-i-148e-km-vezszkonyvnaviteli-gumi-bor180le-seat6-valtoafa-s/00rzehy/
"23,697 EUR (9,340,640 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-33-l1h1-2-szemelyes-5-kavosz-finanszirozas-keszletrol-azonnal-elerheto/20233277
"22,802 EUR (8,987,700 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,88 kW (120 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-30-l2h1-2-szemelyes-szemelyre-szabottan-rendelheto-5-kavosz-lizing/20266831
"14,245 EUR (5,615,000 HUF)",Citroen,C3,1.6,,2023,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-azonnal-keszletrol-tobb-dbkavosz-5-thmmar-csak-2024-majusig/20285487
"14,517 EUR (5,722,010 HUF)",Citroen,C3,1.6,,2024,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-azonnal-keszletrol-akar-tobb-db-is-kavosz-5-thm/20297699
"14,204 EUR (5,598,890 HUF)",Citroen,C3,1.6,,2024,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-azonnal-keszletrol-tobb-dbkavosz-5-thm/20249567
"28,607 EUR (11,275,840 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4h3-raktarkeszleten-levo-azonnal-atveheto-tobb-darabos-keszlet/20231805
"28,477 EUR (11,224,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3-5-kavosz-tobb-db-is-azonnal-elerheto/20255536
"27,649 EUR (10,898,110 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-platos-citroen-jumper-keszletrol-kavosz-5-thm/20323444
"27,349 EUR (10,780,000 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4h3-raktarkeszleten-levo-azonnal-atveheto-tobb-darabos-keszlet/20348109
"27,077 EUR (10,672,600 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-l3-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231980
"25,287 EUR (9,967,200 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-l3h2-kavosz-5-keszletrol-elerheto/20329034
"25,261 EUR (9,957,100 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-l3h2-keszletrol-elerheto-kavosz-5-thm/20322516
"24,000 EUR (9,460,000 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-33-l1h1-raktarkeszletrol-azzonal-kavosz-5-os-thm/20238055
"84,388 EUR (33,262,504 HUF)",Mercedes Benz,300,3.0 D,10 km,2023,Diesel,,Wagon,,Budaörs,176 kW (239 HP),Automatic,https://hovany.hu/autok/mercedes-benz/v-osztaly-v-300-bluetec-d-k-automata/20313779
"27,400 EUR (10,800,000 HUF)",Ford,Puma,1.0 EcoBoost,,2023,Petrol,,Crossover,Black,Székesfehérvár,114 kW (155 HP),Automatic,https://www.hasznaltauto.hu/szemelyauto/ford/puma/ford_puma_1.0_ecoboost_mhev_vivid_ruby_edition_dct_azonnali_keszletrol_rovid_atadasi_hataridovel_teljeskoru_ugyintezessel-20179278#sid=aefbf240-baf7-4fd4-9d40-bb9a5fa73888
"25,345 EUR (9,990,000 HUF)",Mazda,6,2.5,"67,721 km",2021,Petrol,,Sedan,Black,,143 kW (194 HP),Automatic,https://joautok.hu/hasznaltauto/mazda/mazda-6/6-25i-revolution-top-automata-magyarorszagon-vasarolt-szervizkonyves-1/k9cv7ns/
"15,196 EUR (5,990,000 HUF)",Mercedes Benz,C-Class,,"242,486 km",2017,Diesel,,Wagon,Black,Budakalász,125 kW (170 HP),Automatic,https://joautok.hu/hasznaltauto/mercedes-benz/c-osztaly/c-220-t-d-9g-tronic-rendszeresen-karbantartott-teli-nyari-kerekek-ulesfutes-navi-vonohorog-1/s2eght8/
"10,655 EUR (4,200,000 HUF)",Škoda,Octavia,1.8 TSI,"188,640 km",2015,Petrol,,,Gray,Budakalász,132 kW (180 HP),Automatic,https://joautok.hu/hasznaltauto/skoda/octavia/octavia-18-tsi-elegance-dsg-euro-6-mo-i-188e-km-vezetett-szkonyv-automata-valto-ulesfutes-riaszto-afa-s-2/k24yvd6/
"167,420 EUR (65,990,000 HUF)",Mercedes Benz,Eqs Suv,580,2 km,2023,Electric,,Suv,Blue,Kecskemét,400 kW (544 HP),Automatic,https://hovany.hu/autok/mercedes-benz/eqs-suv-580-4matic-7-szemelyes-azonnal-keszletrol/20046120
"37,596 EUR (14,819,000 HUF)",Citroen,C4,,"5,999 km",2023,Electric,,Hatchback,White,Kecskemét,100 kW (136 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4/citroen_c4_e-c4_50kwh_shine_magas_felszereltseg_alacsony_ar-19797767
"43,888 EUR (17,299,000 HUF)",Nissan,X-Trail,1.5,5 km,2024,Petrol,,Suv,White,Budapest,116 kW (158 HP),Automatic,https://joautok.hu/hasznaltauto/nissan/x-trail/x-trail-15-e-power-e-4orce-n-connec-automata-7-szemely-keszletrol-nagy-kedvezmennyel-0-os-thm-mel-3-zonas-klima-4-ulesfutes-7-szeme-1/syh9gss/
"10,148 EUR (3,999,999 HUF)",Škoda,Octavia,2.0 TDI,"139,606 km",2013,,,Wagon,,Nyíregyháza,150 kW (204 HP),,https://www.startapro.hu/hirdetesek/auto_jarmu_gep-auto/hirdetes/skoda-octavia-iii-2-0-cr-tdi-clever/gi108184869d712g101hf300554dg70d.html
"20,778 EUR (8,190,000 HUF)",Toyota,Corolla,,"43,282 km",2020,,,,Black,,72 kW (98 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1594025-hu-toyota-corolla.html
"19,509 EUR (7,690,000 HUF)",Volkswagen,Tiguan,2.0,"97,285 km",2018,Diesel,,Crossover,,Budakalász,110 kW (150 HP),Manual,https://joautok.hu/hasznaltauto/volkswagen/tiguan/tiguan-20-tdi-bmt-scr-trendline-mo-i-97e-kmvezetett-szkonyvulesfutese-h-radarvonohorog-teli-gumiafa-s-4/u9rg3tt/
"26,613 EUR (10,490,000 HUF)",Toyota,Corolla,1.8,5 km,2024,Petrol,,Sedan,Silver,Győr,72 kW (98 HP),Automatic,https://www.szalonauto.hu/szemelyauto/toyota/corolla/toyota_corolla_sedan_1.8_hybrid_comfort_style_tech_e-cvt_azonnal_keszletrol-20315831
"10,310 EUR (4,064,000 HUF)",Volkswagen,Caddy,2.0,"172,791 km",2016,,,Pickup,,,55 kW (75 HP),,https://www.hasznaltautok.hu/vehicle?vehicle=17598503
"17,734 EUR (6,990,000 HUF)",Volvo,V40,2.0,"30,300 km",2017,Petrol,,Wagon,,Miskolc,112 kW (152 HP),,https://www.startapro.hu/hirdetesek/auto_jarmu_gep-auto/hirdetes/elado-volvo-v40-t3-momentum-1969-cm3-112-kw-30-300-km-t-futott-megkimelt-gepkocsi/860d92gd1dgi7557eh6417dd2d6h7i28.html
"8,346 EUR (3,290,000 HUF)",Fiat,Ducato,2.5 TD,"215,000 km",1987,Diesel,,Van,,Hajdúsámson,75 kW (102 HP),,https://www.startapro.hu/hirdetesek/auto_jarmu_gep-auto/hirdetes/koltozes-miatt-elado-jo-allapotu-fiat-ducato-lakoauto-friss-muszakival-csere-is/d219dii4ifgi7f8e21361e1551i6i043.html
"38,030 EUR (14,990,000 HUF)",Volvo,Xc40,2.0 B3,345 km,2024,Petrol,,Crossover,Black,Szeged,120 kW (163 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volvo/xc40/volvo_xc40_2.0_b3_mhev_plus_dark_dct_azonnal_kiemelt_akcioban_maganszemelyeknek_is_kristalyvalto_full-20473144
"13,928 EUR (5,490,000 HUF)",Nissan,Qashqai,1.2,"102,923 km",2018,Petrol,,Crossover,White,Budakalász,85 kW (116 HP),Automatic,https://joautok.hu/hasznaltauto/nissan/qashqai/qashqai-12-dig-t-acenta-xtronic-moi-102e-km-vezetett-szkonyv-e-h-radar-afa-s-5/0wdh5az/
"19,662 EUR (7,750,000 HUF)",Mazda,Cx-5,2.0,"94,180 km",2018,Petrol,,Crossover,Black,,121 kW (165 HP),Manual,https://joautok.hu/hasznaltauto/mazda/cx-5/cx-5-20i-attraction-vegig-vezetett-szervizkonyves-teli-kerek-garnituraval-1/ecegasa/
"15,755 EUR (6,210,300 HUF)",Citroen,Jumper,2.2 HDi,"177,813 km",2020,Diesel,,Van,,,121 kW (165 HP),,https://www.hasznaltautok.hu/vehicle?vehicle=17598025
"42,493 EUR (16,749,000 HUF)",Citroen,C5 Aircross,1.6 puretech,203 km,2023,Hybrid,,Suv,,Kecskemét,132 kW (180 HP),Automatic,https://hovany.hu/autok/citroen/c5-aircross-16-puretech-hybrid-shine-eat8-399-thm-akcio-minden-modellre-bovebben-a-lirasban/19956317
"27,651 EUR (10,899,000 HUF)",Citroen,C4,1.2 puretech,,2024,Petrol,,,,Szeged,96 kW (131 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4_x/citroen_c4_x_1.2_puretech_max_eat8_keszletes_azonnal_atveheto_szemelyre_szabottan_rendeles_eseten_2-3_honap_atvet-20273692
"26,166 EUR (10,313,590 HUF)",Citroen,C4,1.2 puretech,,2024,Petrol,,,,Szeged,96 kW (131 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4_x/citroen_c4_x_1.2_puretech_plus_eat8_keszletrol_elerheto-20255618
"29,201 EUR (11,510,000 HUF)",Citroen,C4 X,1.5 bluehdi,,2024,Diesel,,,,Szeged,96 kW (131 HP),Automatic,https://hovany.hu/autok/citroen/c4-x-15-bluehdi-max-eat8-rendelheto-c4x-gyors-atvetellel/20460491
"19,002 EUR (7,490,000 HUF)",Toyota,Corolla,,"119,818 km",2019,,,,,,90 kW (122 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1684879-hu-toyota-corolla.html
